"","gene 1","gene 2","gene 3","gene 4","gene 5","gene 6","gene 7","gene 8","gene 9","gene 10","gene 11","gene 12","gene 13","gene 14","gene 15","gene 16","gene 17","gene 18","gene 19","gene 20","gene 21","gene 22","gene 23","gene 24","gene 25","gene 26","gene 27","gene 28","gene 29","gene 30","gene 31","gene 32","gene 33","gene 34","gene 35","gene 36","gene 37","gene 38","gene 39","gene 40","gene 41","gene 42","gene 43","gene 44","gene 45","gene 46","gene 47","gene 48","gene 49","gene 50","gene 51","gene 52","gene 53","gene 54","gene 55","gene 56","gene 57","gene 58","gene 59","gene 60","gene 61","gene 62","gene 63","gene 64","gene 65","gene 66","gene 67","gene 68","gene 69","gene 70","gene 71","gene 72","gene 73","gene 74","gene 75","gene 76","gene 77","gene 78","gene 79","gene 80","gene 81","gene 82","gene 83","gene 84","gene 85","gene 86","gene 87","gene 88","gene 89","gene 90","gene 91","gene 92","gene 93","gene 94","gene 95","gene 96","gene 97","gene 98","gene 99","gene 100"
"spot 484",0,0,0,5,4,2,0,1,4,3,17,0,2,6,17,9,0,7,0,0,0,12,17,7,16,6,5,2,9,6,7,0,7,7,5,0,0,0,0,0,9,0,9,8,0,0,4,0,9,6,14,9,12,4,17,0,2,0,0,8,24,9,13,14,10,0,0,23,6,0,0,6,8,2,0,10,0,0,12,4,0,4,0,0,9,7,13,5,0,14,0,0,0,18,0,0,1,3,0,0
"spot 485",2,0,1,0,0,1,0,6,5,3,12,0,0,0,12,7,7,7,0,11,15,0,8,2,8,8,0,0,0,9,0,8,15,8,0,8,4,0,0,2,18,14,7,0,5,6,14,20,0,0,16,4,0,5,16,22,8,3,0,0,22,6,18,0,6,6,2,6,5,35,7,0,8,0,2,8,5,14,7,0,0,6,23,0,0,6,0,0,11,0,6,10,22,11,12,12,0,3,5,7
"spot 486",0,0,0,0,3,1,0,2,3,0,20,3,0,1,10,0,8,13,0,5,0,8,2,2,11,0,0,1,0,0,10,2,0,5,0,6,4,5,13,5,6,0,2,8,5,2,10,14,4,5,5,0,3,0,16,27,7,0,7,3,0,0,4,0,9,7,3,0,0,12,5,0,0,0,1,5,0,7,10,0,2,6,0,3,0,0,7,4,7,12,1,6,12,8,6,6,0,7,5,3
"spot 487",7,0,0,30,0,6,0,0,4,6,0,32,22,0,34,19,38,46,56,47,21,33,24,13,39,28,16,12,20,30,0,0,15,43,0,19,0,0,44,24,22,0,0,0,0,0,32,0,24,57,27,20,33,0,0,99,14,24,36,0,79,39,22,16,11,17,11,75,25,0,0,0,58,25,12,36,0,49,32,31,18,23,42,0,35,41,42,28,32,0,23,0,47,28,0,35,7,32,12,15
"spot 488",2,8,0,0,2,0,0,4,2,0,6,16,5,1,4,5,11,0,7,0,8,0,4,3,6,0,4,2,5,4,0,6,0,0,2,10,12,4,12,12,5,2,0,0,8,3,5,6,4,10,0,2,0,0,0,22,0,1,0,0,16,0,0,6,4,6,0,0,6,22,8,6,6,2,2,1,5,2,0,5,0,4,0,2,9,3,0,0,10,5,0,16,0,7,11,13,3,0,4,5
"spot 489",0,4,5,28,12,6,11,0,9,11,48,20,12,1,36,16,0,0,27,18,28,0,0,8,20,8,10,5,0,0,40,13,21,17,11,0,0,0,32,0,0,16,16,13,10,0,0,0,0,28,0,18,35,8,52,41,11,0,14,16,33,31,0,18,14,21,6,42,20,50,15,12,0,0,5,20,8,12,8,19,0,13,22,0,0,33,0,17,25,32,5,0,28,20,0,0,14,0,0,16
"spot 490",0,4,5,0,2,3,2,7,6,0,0,0,7,3,0,9,6,0,0,12,9,0,0,2,9,12,8,2,15,6,21,13,0,3,0,5,6,20,0,0,10,6,8,0,0,0,0,7,0,0,8,0,0,0,14,17,7,5,0,14,40,0,0,0,3,16,1,8,8,16,13,10,13,6,0,12,0,10,9,3,2,13,18,3,10,0,7,0,8,0,5,0,9,7,21,9,6,9,3,0
"spot 491",17,11,0,40,0,15,0,0,0,14,0,0,0,14,0,25,33,33,39,0,64,33,29,0,28,25,44,8,44,33,68,44,34,16,11,25,17,9,0,29,0,15,0,0,21,0,54,32,39,0,21,14,51,30,64,119,30,14,30,0,113,45,36,28,28,43,7,64,57,62,30,19,33,19,12,0,13,0,38,0,0,25,0,16,43,48,33,0,26,30,0,102,68,0,26,24,11,15,5,25
"spot 492",2,0,1,0,0,4,0,0,2,1,6,0,0,1,0,5,0,9,7,10,0,6,8,2,8,0,0,2,0,3,0,2,5,3,0,3,0,5,3,8,3,0,7,8,0,4,3,7,0,2,0,2,4,6,0,8,3,5,8,4,10,0,3,0,5,5,0,0,0,9,0,2,0,0,0,6,6,6,4,6,3,0,0,1,9,5,5,3,0,4,2,7,13,6,7,7,0,2,3,2
"spot 493",3,7,6,10,6,3,8,8,10,5,21,17,14,2,20,0,16,12,21,8,20,8,9,3,9,0,9,0,0,19,18,9,8,0,0,7,9,0,25,0,4,0,13,0,0,8,20,22,9,11,12,6,0,0,15,0,0,0,15,0,0,8,10,5,10,5,1,0,9,23,0,4,0,0,3,11,0,23,0,7,8,13,0,8,10,0,11,12,11,12,4,22,0,18,0,0,0,7,7,11
"spot 494",2,5,3,13,0,1,11,0,10,3,16,19,4,0,29,9,6,0,15,7,0,11,9,1,24,0,10,0,7,18,11,0,0,17,3,0,12,0,22,0,9,10,22,12,0,11,0,15,0,21,0,6,3,2,16,23,13,8,8,0,0,0,11,15,4,5,7,19,0,23,0,5,11,12,0,17,10,7,0,10,0,10,0,5,9,8,0,0,0,0,6,16,29,0,32,12,7,0,7,4
"spot 495",2,5,1,0,3,0,1,8,5,4,0,5,4,0,10,0,7,11,1,3,14,0,8,0,0,0,0,0,0,8,9,6,0,0,4,0,0,0,0,0,0,0,7,16,6,7,4,9,0,0,0,3,7,3,13,0,4,1,0,0,0,8,3,4,3,7,0,11,0,6,5,1,0,1,0,0,4,0,3,3,4,5,5,1,6,4,4,4,8,3,5,0,10,0,0,5,0,2,0,0
"spot 496",0,28,14,0,0,9,23,0,25,10,0,18,8,0,0,0,22,59,28,0,0,19,5,5,21,19,0,13,0,23,0,11,25,21,0,13,0,33,33,27,22,0,15,20,19,0,20,33,21,0,15,20,0,5,25,70,14,0,28,11,39,14,28,7,0,0,0,24,18,56,16,13,26,0,0,26,18,12,19,13,0,19,38,0,27,22,0,20,20,14,18,25,24,0,12,27,6,15,9,20
"spot 497",4,0,3,14,0,0,7,0,9,4,19,12,3,2,0,5,0,0,9,10,9,16,7,0,0,11,5,0,3,14,6,8,10,0,0,0,0,0,7,16,0,11,0,7,9,10,0,0,0,13,0,0,15,3,13,0,6,3,15,0,28,10,10,0,6,0,0,12,0,29,8,0,9,0,0,0,0,4,11,4,4,0,9,3,14,5,0,1,0,3,0,15,15,0,22,7,0,7,7,0
"spot 498",17,41,14,44,0,36,53,55,70,0,66,0,32,0,0,0,0,0,0,40,0,46,68,0,41,0,0,16,26,0,0,23,52,27,21,0,40,17,30,0,28,0,0,0,15,35,0,40,25,25,27,23,43,0,29,0,0,0,37,0,129,40,31,0,0,0,20,0,40,0,60,33,0,19,0,39,0,0,23,29,19,31,0,0,53,0,69,0,35,18,32,48,0,56,0,36,0,41,0,37
"spot 499",0,10,3,0,17,1,8,0,8,18,14,10,7,6,0,7,6,0,0,0,13,9,0,0,0,0,1,1,4,0,0,10,0,7,6,3,0,0,17,12,4,0,0,22,0,4,13,0,2,0,13,0,14,5,22,21,6,5,0,10,50,9,9,13,0,0,0,20,16,31,14,5,6,6,8,16,4,0,16,0,6,6,27,7,12,8,8,7,0,0,8,13,15,0,31,13,5,19,0,9
"spot 500",18,22,11,30,0,21,0,23,19,14,36,0,13,6,23,11,13,13,0,22,0,27,11,0,0,0,14,8,10,7,26,13,0,9,4,0,12,17,21,0,15,0,12,0,0,16,5,17,15,31,4,12,18,12,40,0,10,14,10,0,51,8,0,0,6,19,2,0,23,0,13,8,0,6,4,30,8,18,13,14,6,18,24,9,0,17,17,15,0,14,0,22,25,18,32,15,8,3,4,7
"spot 501",20,12,5,30,0,10,14,13,27,8,19,10,11,1,22,1,8,16,13,13,15,22,0,3,20,7,0,0,0,12,15,0,0,4,0,9,0,7,12,0,6,12,11,0,0,8,9,0,2,14,0,8,5,2,15,33,5,10,16,13,40,10,18,16,3,2,1,35,8,25,7,0,0,6,0,10,12,5,12,8,4,13,9,11,9,11,18,10,11,0,13,16,9,10,13,9,5,0,0,13
"spot 502",11,0,9,30,17,5,0,11,16,10,12,10,7,0,0,7,5,13,0,7,0,13,12,0,6,0,0,1,0,0,18,4,6,0,4,0,0,0,16,12,0,0,8,4,4,4,6,8,0,10,0,5,6,0,10,0,0,7,10,11,0,5,0,0,5,8,4,16,8,19,0,0,16,3,0,0,9,8,5,5,3,9,22,2,0,7,0,0,0,9,8,10,19,0,0,0,10,11,2,5
"spot 503",6,7,0,14,5,4,15,0,14,0,19,7,0,1,0,2,0,15,21,9,11,5,6,8,8,0,2,2,4,0,0,0,0,0,0,4,1,4,8,0,4,3,4,11,2,6,5,2,11,0,6,3,9,1,26,11,6,0,4,8,22,3,13,0,4,0,0,0,0,0,0,4,12,4,3,0,0,5,5,4,1,5,3,1,0,0,13,3,9,9,1,11,9,0,0,9,3,6,4,0
"spot 504",0,4,0,22,0,4,0,14,11,3,10,0,2,3,12,0,0,6,7,8,7,8,4,0,5,5,8,1,5,5,0,2,5,0,1,0,0,0,12,12,0,4,14,7,5,0,4,0,1,6,2,5,2,0,0,0,5,4,3,5,6,3,6,4,0,0,3,0,6,16,0,1,1,3,2,6,0,4,0,0,2,0,11,3,5,4,11,5,0,7,0,5,6,12,14,4,8,2,3,7
"spot 505",0,12,9,0,0,9,26,0,13,13,0,0,13,0,5,9,1,0,13,0,0,0,8,5,6,12,0,2,0,9,0,7,11,0,4,15,0,3,11,8,0,9,11,10,0,4,10,15,9,10,12,6,0,4,0,19,5,0,11,13,0,5,13,0,2,10,5,9,8,13,0,0,8,0,0,10,9,4,10,5,5,0,6,0,15,5,0,0,14,11,0,16,0,11,13,6,0,8,1,2
"spot 506",25,0,0,33,0,0,0,53,49,0,0,0,8,0,22,8,16,0,19,16,14,24,0,1,0,0,15,8,12,8,0,9,12,0,2,0,11,0,20,19,3,12,0,0,4,0,5,0,8,10,12,5,0,10,13,0,8,0,0,7,37,0,11,7,5,18,0,0,16,0,12,3,0,8,3,0,5,12,0,6,5,14,24,4,27,26,0,9,0,0,0,39,23,0,0,13,3,8,12,12
"spot 507",11,13,0,19,17,0,13,28,0,0,13,5,0,0,10,0,10,0,11,2,0,7,8,3,0,3,11,6,11,10,15,9,15,0,6,10,1,0,13,6,0,0,13,5,0,0,0,16,0,0,12,1,11,2,6,23,6,0,0,0,9,3,14,2,0,17,2,16,6,0,6,10,13,6,1,6,4,5,0,0,2,7,12,3,0,0,18,7,0,0,8,5,0,8,0,8,5,0,5,3
"spot 508",11,16,7,27,21,0,0,19,22,10,9,11,2,2,14,6,6,11,7,3,0,0,5,3,0,6,3,0,9,0,5,0,4,0,4,4,0,4,4,4,0,0,7,5,0,4,11,0,9,0,12,0,0,0,11,14,0,2,9,0,0,1,0,2,3,9,3,6,6,20,0,0,13,1,0,5,3,3,5,0,0,0,7,0,2,2,0,5,8,10,4,10,7,12,14,0,5,0,2,0
"spot 509",0,19,15,52,27,18,28,16,18,16,22,0,0,5,0,1,0,17,9,7,9,9,3,0,9,4,0,6,5,9,8,1,0,0,0,9,0,5,14,11,5,2,5,0,6,3,5,3,3,8,0,2,0,0,12,13,5,3,0,6,0,12,0,0,5,5,5,13,3,23,7,7,8,0,10,0,14,10,8,3,8,2,0,0,15,8,0,8,0,5,0,0,0,9,13,8,4,3,4,0
"spot 510",0,0,14,0,15,6,15,0,39,0,20,0,2,2,0,0,7,16,3,0,8,0,9,0,0,6,0,0,3,10,10,5,9,0,5,9,6,0,16,9,0,6,5,4,0,4,10,0,7,0,6,9,4,0,0,14,9,6,0,10,23,6,12,8,4,0,1,0,8,0,6,2,20,0,0,7,6,0,6,6,0,0,6,4,0,0,0,3,10,0,13,13,4,0,15,0,3,0,4,0
"spot 511",0,23,0,43,0,24,21,39,30,0,0,0,7,0,0,7,0,18,16,10,16,7,7,3,9,5,0,5,6,0,15,0,22,6,7,6,10,6,5,10,7,14,0,0,9,5,5,4,17,9,8,2,6,6,0,21,0,7,0,2,20,6,6,4,9,8,6,13,11,23,11,9,11,4,0,0,6,3,12,3,2,7,17,3,0,13,8,0,0,9,0,0,6,6,12,6,2,7,2,11
"spot 512",18,32,0,28,15,12,27,36,25,0,15,4,0,4,11,0,0,5,5,11,0,6,4,0,6,0,4,1,5,12,7,5,8,8,5,7,8,4,8,14,7,2,0,8,1,0,7,8,7,6,8,2,3,0,0,21,0,0,0,0,31,5,2,5,0,2,0,7,7,6,0,4,7,3,0,6,0,0,7,0,0,3,4,2,3,6,11,9,4,4,0,11,13,0,9,4,3,3,3,0
"spot 513",0,0,0,0,2,3,2,0,2,0,42,26,13,4,46,0,10,30,0,17,0,13,20,0,17,13,14,13,10,28,0,9,19,0,0,0,12,21,0,19,17,0,19,0,10,15,37,0,16,0,12,10,0,0,44,57,12,15,16,0,0,0,0,19,3,21,9,0,18,0,20,0,23,10,12,0,0,8,14,0,0,0,0,6,0,0,29,12,17,19,0,47,25,0,0,0,12,13,8,6
"spot 514",3,0,2,9,6,1,0,0,0,4,20,13,4,4,14,12,0,0,17,20,15,7,7,5,26,9,0,8,16,19,0,14,12,15,0,9,6,15,0,14,0,0,10,0,14,3,0,18,0,0,15,14,8,3,20,25,10,3,19,11,39,11,12,8,5,10,0,15,5,29,0,9,19,3,0,11,10,12,9,9,8,0,18,3,0,13,23,0,0,0,0,0,12,21,0,16,0,9,7,5
"spot 515",1,0,0,7,0,2,4,2,4,0,0,17,11,4,13,7,7,13,14,19,12,0,0,0,13,8,0,1,0,10,14,0,22,8,3,0,0,7,26,0,8,12,15,11,0,0,8,9,6,8,8,10,9,0,15,0,0,3,0,18,39,9,11,4,9,0,0,0,11,37,18,0,13,7,7,0,15,0,11,8,12,1,10,6,13,0,17,0,9,0,10,20,18,0,20,0,7,0,2,0
"spot 516",2,8,5,8,7,3,0,15,0,6,34,21,19,0,24,0,10,23,0,9,0,0,0,7,14,0,0,6,0,28,22,0,9,0,1,0,16,15,0,0,10,15,30,22,21,0,0,26,12,15,15,13,16,0,27,27,0,0,27,8,44,0,28,21,6,16,9,46,18,54,0,0,0,8,0,0,0,0,16,0,15,16,0,9,24,25,22,14,20,7,8,0,31,40,31,17,5,6,8,8
"spot 517",5,7,1,9,3,7,10,8,0,3,53,10,13,13,0,16,0,0,0,10,37,0,18,5,20,22,18,0,8,36,24,25,0,11,4,12,9,0,0,24,16,26,18,14,7,17,25,37,0,26,0,8,13,0,0,42,0,6,0,19,62,0,30,15,20,14,8,0,0,0,0,12,25,5,10,0,18,0,14,0,0,15,48,4,12,9,24,12,20,18,19,16,35,20,39,0,6,0,0,6
"spot 518",3,4,1,0,0,3,0,6,1,0,0,0,0,0,0,14,15,23,0,12,7,0,15,4,11,10,10,8,0,0,8,0,10,6,4,0,0,9,13,0,2,6,17,13,5,0,0,12,0,0,11,4,0,0,16,27,6,7,13,9,20,8,28,11,9,5,3,0,0,43,15,7,10,0,9,15,7,9,2,9,11,9,33,5,16,12,5,8,7,0,10,21,18,9,22,16,0,0,0,7
"spot 519",0,7,0,14,5,2,0,10,0,11,21,0,16,4,27,19,10,36,26,0,24,19,0,7,19,28,20,0,11,16,0,0,17,0,6,7,2,17,0,0,13,7,27,17,12,7,30,31,14,16,26,0,23,22,0,41,11,0,13,16,0,13,30,11,14,0,5,0,23,0,28,4,14,8,12,0,10,15,22,8,0,11,20,0,0,0,26,0,16,18,0,0,41,14,45,25,6,12,0,0
"spot 520",0,0,0,14,9,5,3,6,0,8,0,24,13,9,24,0,19,24,0,13,0,0,0,5,16,0,11,0,10,23,23,5,10,13,5,8,0,10,19,0,12,15,0,18,0,7,0,28,16,19,0,5,16,16,32,0,7,9,22,4,51,7,31,9,0,25,4,0,0,41,0,0,21,10,7,14,0,17,12,0,7,0,0,6,0,27,10,5,26,13,19,20,33,34,34,23,9,0,4,13
"spot 521",10,17,3,0,9,0,10,11,9,0,44,23,13,0,28,23,22,31,53,18,0,27,18,7,15,17,14,2,0,0,0,17,33,0,8,0,0,19,0,25,0,0,35,0,0,13,17,29,14,24,23,14,17,0,15,37,7,8,0,0,0,7,0,18,7,21,6,41,12,0,0,8,15,0,8,18,3,0,19,12,16,0,0,0,32,18,29,12,12,23,8,30,0,23,0,26,7,23,9,0
"spot 522",0,8,2,0,0,5,8,13,20,4,0,11,0,0,0,22,19,19,29,32,0,20,18,2,22,12,15,0,0,14,29,0,15,13,7,0,6,10,0,0,9,10,8,0,10,11,6,27,0,0,22,17,17,4,15,68,0,6,16,16,0,9,27,15,0,16,7,28,9,0,25,0,33,0,0,15,0,7,13,12,7,8,42,9,0,18,21,17,7,11,9,23,0,0,26,17,11,0,5,11
"spot 523",0,0,0,25,0,5,0,18,11,0,0,20,8,1,21,11,13,28,0,12,0,0,0,0,17,12,9,0,12,28,28,0,24,13,7,12,0,8,32,20,14,0,19,14,6,15,15,18,8,37,9,7,30,2,0,39,14,0,23,0,0,11,23,8,10,0,0,0,0,44,13,10,0,0,2,12,10,0,0,8,8,21,32,6,0,0,23,15,13,16,0,0,22,0,18,13,9,7,6,14
"spot 524",0,0,0,0,12,6,14,24,10,14,0,40,13,0,0,9,12,28,19,0,30,14,0,0,24,25,0,8,0,11,32,16,10,22,9,15,9,0,22,0,10,0,14,23,12,0,9,19,18,21,0,14,10,11,34,0,0,0,21,15,32,0,21,29,8,0,0,33,0,41,14,13,0,7,11,8,12,16,28,20,18,9,36,9,13,16,0,0,19,9,0,30,17,0,27,22,9,9,11,16
"spot 525",10,12,9,26,19,6,0,40,14,10,0,0,21,8,50,14,14,0,0,31,0,32,17,2,30,0,29,15,0,17,31,0,0,19,9,20,0,13,23,38,18,15,22,34,8,10,0,46,11,17,0,5,23,14,38,0,0,0,22,0,45,0,29,20,8,19,7,53,0,105,0,0,16,16,11,20,17,22,0,29,0,19,37,16,32,34,16,0,32,19,10,0,0,21,0,23,0,12,0,11
"spot 526",0,0,0,0,21,13,27,29,57,14,0,39,25,6,0,0,24,35,0,19,49,27,35,5,0,26,0,0,18,48,0,0,23,0,6,0,32,33,34,42,27,18,44,0,0,15,38,33,19,0,29,14,30,9,0,101,0,0,40,19,0,14,0,24,17,42,13,51,0,0,34,0,36,0,11,0,21,14,27,0,15,0,47,8,0,0,58,24,27,27,0,50,0,50,37,42,12,34,15,0
"spot 527",6,0,7,10,11,0,4,15,11,7,0,0,5,4,0,5,6,0,14,0,16,8,10,7,6,18,12,7,1,10,18,9,0,14,8,0,11,0,14,17,0,12,21,13,5,0,6,25,0,13,0,7,16,7,16,24,0,0,12,0,0,7,0,0,23,0,2,13,9,0,14,5,11,0,3,0,9,14,0,10,8,10,10,0,0,6,0,0,17,0,9,18,16,0,16,12,3,8,6,5
"spot 528",20,50,24,0,55,30,28,60,24,24,99,23,39,10,54,28,0,47,0,39,0,65,34,19,0,33,17,15,0,0,51,47,0,24,0,29,0,0,0,41,28,0,0,0,28,0,30,0,0,0,49,0,30,25,0,112,18,19,54,29,103,32,83,33,16,26,0,0,26,0,0,20,55,14,0,29,0,39,33,26,24,0,28,0,50,32,46,21,0,30,27,52,53,77,82,0,11,0,0,17
"spot 529",9,7,5,27,15,2,10,21,13,6,15,0,0,0,17,10,4,18,15,7,19,0,0,4,13,11,11,2,2,8,0,5,12,4,6,0,11,15,21,0,2,6,17,10,0,3,15,15,14,6,13,0,9,0,25,33,0,7,10,11,39,0,0,9,0,11,4,20,0,33,21,4,15,6,0,0,4,11,0,7,0,11,9,3,8,10,15,2,7,14,7,13,7,14,13,0,0,7,0,0
"spot 530",0,15,8,0,16,7,20,8,7,7,22,0,8,2,14,7,0,13,16,12,0,17,13,0,0,11,12,0,15,10,0,12,22,14,0,10,9,24,11,13,11,8,9,16,0,0,0,0,14,15,15,8,6,2,25,25,16,7,7,9,40,17,19,15,7,0,0,21,0,17,12,12,0,4,0,7,10,10,8,0,14,0,11,6,14,15,0,8,8,7,7,0,12,13,0,0,2,0,9,6
"spot 531",4,9,4,0,10,3,0,0,0,0,18,6,5,0,5,2,7,10,0,8,0,12,4,3,8,4,11,0,7,8,13,3,4,0,0,4,4,4,6,10,5,0,7,6,1,4,11,12,6,0,7,5,0,1,14,13,4,5,6,0,0,3,11,0,1,6,2,0,8,13,0,0,4,4,0,7,4,7,3,6,1,4,0,0,0,8,0,0,0,5,4,0,0,5,15,6,0,4,3,0
"spot 532",34,20,0,0,21,21,26,0,0,30,0,22,15,3,42,16,15,16,12,33,23,15,13,0,18,27,0,0,8,0,0,18,11,15,0,10,14,0,19,0,19,19,0,18,14,14,6,0,21,23,0,0,18,8,35,52,15,0,0,26,71,20,14,10,0,0,0,16,15,0,0,15,0,6,14,17,5,28,14,7,0,0,14,11,21,0,0,12,0,9,17,42,27,31,44,0,16,22,0,17
"spot 533",0,10,3,0,17,5,13,0,27,0,0,11,6,0,21,0,2,12,0,7,17,8,7,5,17,7,3,0,4,0,12,14,11,0,5,5,5,7,15,10,6,0,3,12,5,8,10,18,0,5,5,0,9,4,30,18,8,4,12,16,0,11,10,13,4,9,0,0,12,0,6,7,7,3,2,9,3,9,0,2,8,7,15,0,6,0,14,4,4,0,11,16,0,19,0,26,6,7,4,5
"spot 534",12,0,16,55,23,18,40,18,27,15,17,12,9,0,15,14,10,0,20,18,6,0,0,3,19,0,10,0,6,17,13,4,16,9,5,13,0,5,24,14,10,20,17,21,10,0,16,5,16,13,13,0,17,0,0,17,0,11,0,15,36,8,19,8,8,0,1,27,9,0,13,0,11,7,11,13,0,10,15,8,6,0,29,4,30,16,26,0,14,0,0,22,16,0,28,11,8,9,10,0
"spot 535",0,0,22,0,44,22,0,0,30,41,32,21,13,5,20,0,23,0,24,0,21,20,0,0,18,29,8,12,7,22,30,19,0,6,0,16,18,0,20,33,21,12,27,0,15,4,21,0,14,0,18,18,17,13,52,29,14,16,12,18,26,12,0,0,5,23,9,29,17,78,39,15,24,16,6,11,0,15,0,11,0,14,0,13,30,31,28,8,18,0,22,36,21,23,35,10,0,12,0,0
"spot 536",13,12,11,41,17,8,25,39,0,0,0,14,0,4,13,5,10,17,16,0,30,16,6,1,7,0,0,1,6,12,19,3,20,0,0,5,6,0,18,0,7,8,0,17,7,0,12,11,0,12,8,10,0,2,0,36,0,4,0,0,30,7,0,21,5,0,3,0,0,19,20,9,13,4,6,4,11,14,0,9,8,0,14,0,6,10,4,11,6,8,6,0,22,0,11,17,3,10,5,5
"spot 537",0,17,8,0,33,6,14,25,0,0,30,7,0,2,15,11,0,0,0,8,9,12,0,0,0,0,13,4,0,0,15,0,0,12,4,0,10,8,15,0,8,5,0,14,8,0,12,7,11,21,0,8,11,7,30,6,7,3,19,1,36,8,15,5,13,0,3,14,0,28,0,5,14,11,9,0,6,15,0,3,6,8,9,0,0,5,0,0,8,0,9,16,7,0,0,0,3,0,8,8
"spot 538",16,20,14,34,26,0,0,42,16,0,20,8,0,6,25,10,11,13,11,9,0,0,0,0,11,0,0,0,0,24,13,18,0,0,2,0,3,0,17,22,0,6,18,7,6,0,5,0,9,13,0,5,0,10,0,23,7,0,22,12,23,0,12,14,12,0,7,0,6,0,5,5,0,3,12,0,6,12,10,0,10,13,19,0,13,13,7,0,0,18,10,15,0,16,0,9,0,0,5,5
"spot 539",20,0,6,41,35,5,38,17,29,31,0,5,10,1,15,0,0,15,0,17,0,15,6,3,15,10,0,3,0,11,9,6,0,0,0,6,0,0,14,21,6,4,0,11,5,5,0,10,19,12,18,0,11,0,0,21,0,0,0,7,21,0,0,6,3,0,11,0,9,10,0,11,17,0,4,7,13,13,9,0,10,6,0,0,0,15,6,8,10,10,4,22,6,8,28,0,4,4,3,4
"spot 540",0,30,25,0,0,19,0,0,54,0,0,21,3,0,19,16,10,16,11,13,0,8,11,8,22,12,0,4,0,12,30,0,0,5,0,6,5,11,12,21,10,10,19,12,6,0,0,22,12,21,10,0,16,8,0,0,0,5,19,6,0,0,14,13,6,9,2,16,16,11,0,10,11,6,5,14,8,5,0,7,5,10,0,3,3,12,11,16,10,8,8,16,24,16,0,21,10,11,0,0
"spot 541",31,44,42,98,88,0,30,56,64,38,55,21,13,0,19,21,0,49,23,0,31,26,0,14,24,0,23,0,0,32,42,22,14,24,18,9,0,10,0,30,0,8,37,23,10,0,23,0,13,11,21,14,9,0,29,51,0,0,0,22,0,0,24,14,8,0,5,23,0,53,19,19,18,5,0,14,12,26,10,13,14,21,27,6,19,0,20,0,18,22,11,19,29,17,0,30,0,19,11,17
"spot 542",0,17,0,0,25,7,30,57,46,19,17,0,5,3,13,12,0,2,9,7,0,0,0,0,2,0,0,5,6,0,22,12,0,11,3,3,0,9,0,12,0,0,8,7,0,3,0,9,3,7,6,5,8,7,13,11,8,0,13,0,0,10,19,0,0,9,6,13,10,24,10,5,0,5,3,0,9,9,9,0,17,0,15,5,14,0,13,8,6,0,6,0,11,6,13,9,3,0,0,11
"spot 543",0,36,28,106,25,0,63,0,32,38,18,11,0,1,12,20,0,9,0,10,0,11,12,6,6,16,9,5,6,18,0,8,7,9,3,0,6,13,13,8,8,8,0,11,5,8,11,0,0,13,0,1,15,2,27,26,0,0,0,0,21,4,0,17,0,8,0,11,6,0,7,0,0,0,0,5,0,8,0,0,10,0,0,0,0,0,17,0,6,16,0,0,20,0,0,0,6,9,1,6
"spot 544",31,54,0,0,48,0,45,0,0,0,14,14,6,2,24,12,4,28,0,17,21,0,0,0,13,8,9,9,9,16,13,0,8,0,4,0,9,14,0,0,6,11,0,11,15,5,18,0,9,12,0,5,9,0,33,30,6,0,8,14,25,13,17,5,6,5,2,17,15,17,14,6,20,0,4,15,10,0,7,0,2,0,23,1,11,7,6,8,7,8,11,18,27,22,7,18,13,3,0,12
"spot 545",9,5,1,10,9,6,0,0,8,2,37,0,21,1,24,16,0,30,36,0,32,39,14,0,0,17,0,7,19,0,0,14,17,0,4,11,0,0,33,21,0,0,23,0,6,12,18,18,0,32,25,17,17,0,32,0,0,9,16,0,0,8,7,7,17,0,8,17,15,61,0,27,18,0,0,25,16,0,24,6,11,15,29,7,18,11,0,11,32,17,0,0,16,17,30,0,0,9,10,0
"spot 546",2,4,0,10,5,0,0,3,4,1,0,0,0,6,19,8,7,0,12,0,0,18,10,0,12,21,0,11,7,15,28,0,9,4,5,9,15,0,18,11,10,9,20,13,0,0,11,0,16,14,15,5,16,6,18,0,14,0,20,11,0,16,0,18,0,14,8,0,0,57,7,0,16,8,10,25,9,6,11,0,0,0,35,6,12,0,0,8,0,13,12,0,10,31,0,0,5,6,8,0
"spot 547",0,4,0,8,1,3,3,8,4,0,8,17,0,4,0,9,12,20,14,0,0,21,14,5,0,0,0,4,4,0,37,0,17,5,7,15,16,7,22,0,11,0,12,17,0,5,0,19,21,16,11,12,15,6,0,0,10,6,0,13,26,8,22,0,8,12,2,0,17,41,12,9,15,9,4,0,8,12,12,0,4,10,17,6,7,10,24,8,0,14,0,19,0,22,31,0,0,7,10,6
"spot 548",3,4,0,17,0,6,3,6,7,5,23,16,13,0,13,0,16,17,0,12,0,6,0,7,17,9,12,6,0,13,19,0,0,12,10,8,6,11,14,13,17,8,17,14,7,0,0,18,0,0,14,7,12,0,0,0,7,4,15,0,32,5,15,0,0,0,0,0,0,31,8,0,14,0,0,31,0,9,13,12,0,0,0,11,20,16,0,5,15,12,7,22,0,11,0,20,0,0,0,12
